sex;race;LSAT;UGPA;ZFYA;race_sex;k;new_k
0;0;2.061424325;0.177247714;-0.72;0;7;1
0;0;2.061424325;-1.995762507;0.57;0;9;2
0;0;2.061424325;-1.271425766;-0.55;0;10;3
0;2;2.061424325;1.384475615;1.5;2;18;4
0;5;2.061424325;-0.064197866;-0.84;5;198;5
0;2;2.061424325;1.625921195;0.89;2;52;6
0;6;2.061424325;1.625921195;1.89;6;144;7
1;0;2.061424325;-2.237208087;0.8;8;1;8
0;5;2.061424325;1.384475615;-0.32;5;200;9
1;0;2.061424325;1.143030035;1.26;8;2;10
1;0;2.061424325;0.901584455;0.93;8;3;11
1;2;2.061424325;1.143030035;0.2;10;51;12
1;4;2.061424325;-0.547089026;0.55;12;138;13
1;6;2.061424325;0.660138875;-0.03;14;66;14
0;1;1.510615277;-1.271425766;-1.01;1;1154;15
1;0;2.061424325;0.418693295;1.44;8;5;16
1;7;1.510615277;-0.305643446;-0.25;15;1462;17
1;4;2.061424325;1.384475615;0.84;12;169;18
1;5;1.327012261;0.177247714;0.16;13;1842;19
0;4;2.061424325;-0.305643446;0.99;4;4;20
0;7;1.877821309;-1.029980186;-1.13;7;471;21
1;5;1.327012261;1.384475615;0.67;13;2073;22
1;0;2.061424325;1.143030035;2.42;8;6;23
1;0;2.061424325;-0.064197866;0.58;8;8;24
1;2;2.061424325;0.660138875;2.41;10;109;25
0;6;1.877821309;-1.754316926;0.59;6;405;26
1;6;2.061424325;-0.064197866;0.87;14;74;27
1;1;1.143409245;-1.754316926;-0.02;9;3039;28
1;0;2.061424325;-0.788534606;1.79;8;14;29
1;0;2.061424325;0.177247714;-0.19;8;15;30
0;3;1.877821309;-1.754316926;-0.47;3;399;31
0;5;1.877821309;1.625921195;2.59;5;568;32
0;5;1.877821309;-1.271425766;0.08;5;591;33
1;4;1.877821309;1.384475615;-0.13;12;534;34
0;6;1.877821309;1.143030035;0.6;6;524;35
1;3;1.694218293;-0.064197866;0.41;11;859;36
1;0;2.061424325;0.418693295;0.21;8;16;37
1;2;2.061424325;0.901584455;0.08;10;191;38
0;1;1.327012261;-0.547089026;-0.49;1;1998;39
1;0;2.061424325;1.384475615;-0.26;8;21;40
1;4;1.877821309;0.177247714;0.15;12;596;41
1;7;1.327012261;0.660138875;0.67;15;1605;42
1;0;2.061424325;1.143030035;1.94;8;22;43
0;6;1.877821309;0.660138875;0.21;6;551;44
1;5;0.95980623;-0.547089026;-0.67;13;3265;45
0;2;2.061424325;1.625921195;1.75;2;57;46
1;0;2.061424325;1.625921195;2.11;8;30;47
1;6;1.877821309;0.177247714;0.23;14;318;48
0;5;1.694218293;-1.271425766;1.14;5;694;49
0;7;1.694218293;-0.547089026;-0.53;7;867;50
1;2;2.061424325;1.384475615;0.67;10;192;51
1;7;1.327012261;0.418693295;-0.31;15;2087;52
1;4;1.694218293;-0.305643446;-0.57;12;612;53
0;1;1.143409245;-1.512871346;0.19;1;2366;54
1;0;2.061424325;1.384475615;1.43;8;31;55
0;6;1.694218293;-0.547089026;1.8;6;643;56
1;5;0.95980623;-0.064197866;1.39;13;3315;57
0;2;2.061424325;0.660138875;1.11;2;162;58
0;5;1.510615277;1.625921195;0.28;5;1187;59
1;5;0.95980623;-0.064197866;0.16;13;3780;60
1;0;2.061424325;0.660138875;0.4;8;34;61
1;0;2.061424325;-0.064197866;-0.33;8;36;62
1;0;2.061424325;0.418693295;2.4;8;41;63
1;5;0.95980623;-0.788534606;0.05;13;3834;64
0;3;1.877821309;0.418693295;0.73;3;498;65
1;2;1.877821309;0.177247714;1.18;10;313;66
1;6;1.877821309;0.901584455;-0.14;14;512;67
0;6;1.694218293;0.901584455;0.65;6;717;68
0;5;1.510615277;0.418693295;0.1;5;1355;69
1;3;1.510615277;0.901584455;-0.08;11;1140;70
1;0;2.061424325;1.143030035;1.47;8;44;71
1;4;1.510615277;-0.788534606;-0.3;12;1392;72
0;5;1.510615277;1.384475615;0.83;5;1364;73
1;4;1.510615277;0.418693295;0.34;12;1457;74
0;7;1.327012261;-1.029980186;-0.21;7;1653;75
0;1;1.143409245;-0.788534606;-0.02;1;2506;76
1;0;2.061424325;1.625921195;1.25;8;45;77
1;2;1.877821309;1.143030035;-0.47;10;340;78
1;5;0.95980623;-0.064197866;-0.56;13;3873;79
1;0;2.061424325;1.384475615;-0.5;8;46;80
0;6;1.694218293;0.177247714;1.05;6;896;81
1;6;1.510615277;1.625921195;-0.43;14;1090;82
0;5;1.327012261;1.143030035;-1.36;5;1714;83
0;1;1.143409245;-0.547089026;0.34;1;2782;84
1;4;1.327012261;0.418693295;0.58;12;1618;85
1;7;0.95980623;-0.064197866;0.3;15;3728;86
1;0;2.061424325;1.143030035;-0.15;8;48;87
1;0;2.061424325;0.901584455;0.14;8;61;88
1;2;1.877821309;0.901584455;1.25;10;351;89
1;1;0.776203214;-0.788534606;0.14;9;5170;90
0;0;2.061424325;0.177247714;2.18;0;11;91
1;0;2.061424325;1.384475615;0.47;8;62;92
0;3;1.694218293;-0.305643446;-1.23;3;828;93
1;5;0.776203214;-0.788534606;0.21;13;4763;94
0;2;2.061424325;0.177247714;0.85;2;290;95
0;6;1.510615277;0.901584455;1.77;6;1109;96
1;5;0.684401706;1.143030035;-1.82;13;5564;97
1;0;2.061424325;1.625921195;1.08;8;63;98
1;6;1.510615277;1.384475615;0.98;14;1118;99
0;5;1.327012261;-0.305643446;0.64;5;1844;100
0;6;1.510615277;0.660138875;1.29;6;1404;101
1;4;1.327012261;0.901584455;-0.62;12;1772;102
1;3;1.327012261;0.177247714;-2.1;11;1711;103
0;1;0.95980623;-2.478653667;1.48;1;4048;104
1;4;1.327012261;-0.547089026;1.09;12;1783;105
0;7;0.776203214;-0.064197866;-1.17;7;4438;106
0;5;1.143409245;-1.754316926;0.65;5;2675;107
1;1;0.592600198;-1.754316926;-0.94;9;6096;108
0;0;2.061424325;0.660138875;2.08;0;12;109
1;1;0.592600198;-0.305643446;-0.58;9;6720;110
1;0;2.061424325;2.108812355;-0.96;8;65;111
1;0;2.061424325;1.867366775;0.25;8;70;112
1;0;2.061424325;-0.305643446;-0.43;8;72;113
1;0;2.061424325;-0.788534606;0.69;8;75;114
0;4;1.877821309;-1.029980186;0.45;4;381;115
1;2;1.877821309;1.625921195;0.43;10;487;116
1;6;1.510615277;1.625921195;0.78;14;1420;117
0;1;0.776203214;1.143030035;0.55;1;4665;118
0;5;1.143409245;0.177247714;-0.94;5;2781;119
1;5;0.592600198;-0.305643446;-1.03;13;5921;120
1;0;2.061424325;-0.064197866;0.72;8;77;121
1;0;2.061424325;0.418693295;0.27;8;86;122
1;2;1.877821309;0.901584455;-1.07;10;506;123
0;6;1.510615277;1.143030035;1.79;6;1544;124
1;4;1.327012261;0.660138875;-0.52;12;2130;125
0;5;0.95980623;0.418693295;-1.12;5;3874;126
0;7;0.776203214;-0.305643446;-1.16;7;4600;127
1;5;0.592600198;1.143030035;0.27;13;5934;128
1;0;2.061424325;0.660138875;0.4;8;89;129
1;0;2.061424325;1.143030035;1.11;8;99;130
1;4;1.327012261;0.418693295;0.66;12;2159;131
1;6;1.327012261;0.660138875;-0.2;14;1821;132
1;5;0.592600198;-1.512871346;-0.62;13;5952;133
1;0;2.061424325;-1.029980186;0.08;8;104;134
0;3;1.694218293;0.177247714;-0.5;3;838;135
0;6;1.327012261;0.660138875;-0.13;6;1665;136
0;1;0.776203214;-0.547089026;0.42;1;5013;137
0;5;0.95980623;1.143030035;-1.07;5;3897;138
1;5;0.592600198;-0.305643446;0.34;13;5959;139
1;0;2.061424325;0.177247714;-0.12;8;106;140
1;2;1.694218293;0.660138875;-0.62;10;737;141
1;3;1.327012261;-0.064197866;-0.7;11;2052;142
1;4;1.327012261;-0.547089026;0.75;12;2281;143
1;5;0.592600198;-0.064197866;-0.03;13;6257;144
1;0;2.061424325;0.901584455;1.71;8;107;145
0;6;1.327012261;1.143030035;0.03;6;1683;146
1;5;0.592600198;-2.237208087;1.21;13;6315;147
0;2;1.877821309;0.418693295;1.22;2;298;148
1;6;1.327012261;-0.305643446;-1.85;14;2088;149
0;1;0.776203214;0.660138875;0.23;1;5185;150
0;5;0.776203214;-1.512871346;-0.07;5;4556;151
1;5;0.592600198;-1.754316926;0.15;13;6380;152
1;2;1.694218293;-2.237208087;-0.2;10;830;153
1;4;1.143409245;0.660138875;-1.14;12;2500;154
1;5;0.592600198;0.660138875;-0.22;13;6405;155
0;7;0.776203214;-1.754316926;-1.6;7;5014;156
1;7;0.592600198;-1.029980186;-2.12;15;6472;157
0;0;2.061424325;-0.547089026;0.42;0;13;158
1;0;2.061424325;0.418693295;0.91;8;111;159
1;0;2.061424325;-0.064197866;1.55;8;113;160
0;6;1.327012261;-0.064197866;0.47;6;1735;161
1;4;1.143409245;0.660138875;1.1;12;2662;162
0;5;0.776203214;-0.064197866;-1.08;5;4640;163
1;5;0.592600198;1.143030035;-0.07;13;6432;164
1;1;0.50079869;-0.788534606;-1.11;9;7088;165
0;0;2.061424325;0.418693295;0.88;0;17;166
1;6;1.143409245;0.660138875;2.32;14;2588;167
1;1;0.225394166;0.418693295;-0.22;9;9435;168
1;0;2.061424325;0.418693295;0.77;8;115;169
1;0;2.061424325;1.625921195;2.02;8;116;170
1;0;2.061424325;0.177247714;-0.03;8;117;171
1;0;2.061424325;0.660138875;1.98;8;119;172
1;2;1.694218293;1.625921195;-0.47;10;840;173
0;5;0.776203214;-0.064197866;-0.76;5;4766;174
0;6;1.327012261;0.660138875;0.46;6;1833;175
0;1;0.592600198;-1.271425766;-0.46;1;5872;176
1;3;1.327012261;-0.547089026;-1.83;11;2141;177
1;5;0.592600198;-0.305643446;-2.15;13;6469;178
0;3;1.143409245;-1.995762507;-0.86;3;2658;179
1;4;1.143409245;-0.788534606;0.81;12;2697;180
1;7;0.225394166;1.867366775;-0.03;15;8756;181
0;0;2.061424325;0.901584455;2.76;0;19;182
1;0;2.061424325;1.143030035;0.76;8;125;183
0;2;1.877821309;-1.029980186;0.34;2;362;184
0;4;1.877821309;0.901584455;-0.27;4;485;185
1;2;1.694218293;0.660138875;-0.3;10;863;186
0;5;0.776203214;1.625921195;-1.31;5;5153;187
0;6;1.327012261;-1.271425766;-0.37;6;1925;188
1;4;0.95980623;1.384475615;0.74;12;3132;189
1;6;0.95980623;1.143030035;-0.87;14;3241;190
0;7;0.684401706;-1.512871346;0.46;7;5575;191
0;5;0.776203214;0.901584455;-0.65;5;5186;192
0;1;0.592600198;-0.305643446;0.88;1;6122;193
1;5;0.592600198;-0.788534606;-1.05;13;6490;194
1;0;2.061424325;0.660138875;1.94;8;126;195
1;0;2.061424325;-0.547089026;1.57;8;127;196
1;5;0.592600198;0.660138875;0.79;13;6598;197
0;6;1.327012261;0.901584455;-0.21;6;1972;198
1;7;0.225394166;-0.064197866;2.25;15;9139;199
0;0;2.061424325;0.660138875;1.02;0;20;200
1;0;2.061424325;0.660138875;-0.19;8;128;201
1;2;1.694218293;0.660138875;-0.12;10;870;202
1;4;0.95980623;-0.305643446;2.15;12;3269;203
1;6;0.95980623;-0.305643446;-0.33;14;3301;204
0;5;0.776203214;0.901584455;0.05;5;5187;205
0;1;0.592600198;-1.512871346;-0.1;1;6621;206
1;5;0.592600198;0.177247714;-2.3;13;6632;207
0;5;0.776203214;0.901584455;-1.07;5;5215;208
1;7;0.225394166;-0.305643446;-1.47;15;9636;209
0;0;2.061424325;0.901584455;0.29;0;23;210
1;7;0.133592658;0.177247714;-0.91;15;10079;211
1;0;2.061424325;-0.064197866;1.06;8;129;212
1;0;2.061424325;-0.788534606;0.4;8;130;213
1;0;2.061424325;0.418693295;1.38;8;134;214
1;0;2.061424325;-0.064197866;0.21;8;137;215
1;0;2.061424325;1.143030035;0.26;8;142;216
0;2;1.877821309;0.660138875;-0.42;2;411;217
1;2;1.694218293;1.384475615;-0.73;10;877;218
0;6;1.327012261;-0.305643446;-0.4;6;2180;219
0;3;1.143409245;-0.547089026;-0.92;3;2685;220
1;4;0.95980623;0.901584455;1.5;12;3500;221
0;6;1.327012261;-0.547089026;0.12;6;2318;222
0;7;0.592600198;-0.547089026;0.25;7;5968;223
1;3;1.143409245;0.177247714;-1.13;11;2466;224
1;6;0.95980623;-0.547089026;-0.89;14;3369;225
0;1;0.592600198;-0.305643446;-1.85;1;6630;226
0;5;0.592600198;-1.271425766;-0.21;5;5866;227
1;4;0.95980623;0.177247714;1.33;12;3567;228
1;5;0.592600198;-1.029980186;-1.4;13;7003;229
1;0;2.061424325;1.143030035;1.09;8;145;230
0;2;1.877821309;0.901584455;-0.93;2;428;231
1;5;0.408997182;0.901584455;0.27;13;7447;232
1;0;2.061424325;1.143030035;0.54;8;149;233
1;5;0.408997182;0.177247714;0.52;13;7458;234
1;2;1.694218293;0.901584455;0.06;10;900;235
0;5;0.592600198;-0.547089026;-0.97;5;5920;236
1;4;0.95980623;1.143030035;0.28;12;3599;237
1;7;0.04179115;0.660138875;0.29;15;10601;238
1;0;2.061424325;0.901584455;0.08;8;150;239
1;0;2.061424325;1.384475615;0.54;8;151;240
1;0;2.061424325;1.384475615;1.2;8;153;241
1;0;2.061424325;1.384475615;-0.18;8;156;242
0;4;1.694218293;1.867366775;0.2;4;680;243
0;6;1.143409245;-0.547089026;1.51;6;2392;244
1;6;0.95980623;-0.064197866;1.09;14;3438;245
1;4;0.95980623;1.143030035;-1.81;12;3887;246
0;1;0.592600198;0.660138875;0.88;1;6953;247
1;2;1.694218293;-0.305643446;0.34;10;961;248
0;5;0.592600198;1.625921195;-0.54;5;5922;249
0;5;0.592600198;-0.547089026;-1.43;5;6236;250
0;7;0.592600198;-0.788534606;1.26;7;6311;251
0;6;1.143409245;-0.064197866;0.49;6;2480;252
1;5;0.408997182;0.660138875;0.03;13;7469;253
1;0;2.061424325;0.901584455;0.08;8;158;254
1;5;0.408997182;-0.547089026;-0.25;13;7492;255
1;4;0.95980623;1.143030035;-0.96;12;3902;256
1;7;0.04179115;0.901584455;-0.56;15;11265;257
1;0;2.061424325;0.660138875;0.5;8;161;258
1;0;2.061424325;0.660138875;0.93;8;163;259
1;0;2.061424325;0.418693295;-0.2;8;165;260
0;2;1.877821309;0.901584455;1.48;2;516;261
1;2;1.694218293;0.418693295;0.54;10;1023;262
0;3;1.143409245;-1.754316926;0.43;3;2969;263
0;6;1.143409245;0.901584455;1.1;6;2531;264
1;6;0.95980623;0.418693295;1.17;14;3576;265
1;3;1.143409245;0.177247714;-2.2;11;2509;266
0;5;0.592600198;0.177247714;-1.21;5;6597;267
0;7;0.592600198;-0.064197866;-0.34;7;6471;268
0;1;0.50079869;-0.064197866;-0.09;1;7043;269
1;4;0.95980623;0.660138875;-0.84;12;3907;270
1;5;0.408997182;0.418693295;-0.68;13;7849;271
1;0;2.061424325;1.384475615;-0.47;8;177;272
1;5;0.408997182;-0.547089026;-0.13;13;7937;273
1;6;0.776203214;0.418693295;0.5;14;4353;274
0;5;0.408997182;-0.547089026;-0.56;5;7444;275
1;7;0.04179115;-0.547089026;-1.37;15;11578;276
1;0;2.061424325;2.350257935;1.73;8;181;277
1;0;2.061424325;1.625921195;0.02;8;182;278
1;0;2.061424325;0.901584455;0.44;8;183;279
0;2;1.877821309;0.177247714;-1.58;2;522;280
1;2;1.510615277;0.418693295;-1.25;10;1043;281
0;6;1.143409245;1.143030035;0.31;6;2560;282
1;4;0.95980623;-0.305643446;-1.21;12;4157;283
0;1;0.408997182;1.143030035;1.27;1;7493;284
0;5;0.408997182;0.418693295;-0.43;5;7451;285
1;5;0.408997182;-0.305643446;-1.07;13;8183;286
1;2;1.510615277;0.901584455;0.39;10;1238;287
0;6;1.143409245;-1.512871346;1.23;6;2656;288
1;5;0.225394166;-0.064197866;-0.95;13;9004;289
1;1;-0.141811865;-1.512871346;0.4;9;12360;290
0;0;2.061424325;1.384475615;1.76;0;24;291
0;0;2.061424325;-0.064197866;0.93;0;25;292
1;4;0.868004722;1.143030035;-1.52;12;4320;293
1;6;0.776203214;0.418693295;0.3;14;4375;294
0;5;0.408997182;-1.995762507;-2.24;5;7485;295
1;5;0.225394166;-1.029980186;-1.84;13;9005;296
1;1;-0.141811865;1.625921195;-0.58;9;12599;297
0;0;2.061424325;1.625921195;0.89;0;26;298
1;0;2.061424325;1.384475615;0.17;8;184;299
1;0;2.061424325;1.384475615;0;8;188;300
